RAJ2000,DEJ2000,Flux_mJy,comment
136.844333,10.0,29.9,
127.750708,10.001417,15.8,
159.403333,10.003,41.9,
172.739125,10.004444,25.8,
138.143625,10.010528,15.1,
131.757917,10.018611,23.5,
141.595042,10.018667,34.0,
146.539125,10.019056,17.0,
173.17525,10.020194,45.5,
155.7955,10.024056,32.7,
157.29791699999996,10.025722,15.3,
166.678458,10.025806,15.0,
154.452708,10.02775,18.1,
157.797625,10.030333,43.9,
144.1535,10.033444,17.7,
159.009083,10.034583,15.5,
130.701333,10.036611,53.2,
151.21975,10.037028,88.4,
150.586208,10.038167,30.2,
156.622375,10.042361,45.2,
149.48779199999996,10.043139,50.0,
144.783375,10.043944,44.9,
157.313125,10.045417,17.5,
167.660542,10.047333,15.9,
165.076042,10.049111,184.1,
163.846958,10.04975,16.7,
143.96045800000005,10.050417,42.2,
142.924833,10.051028,32.2,
151.055667,10.051278,32.8,
135.918542,10.056194,129.3,
169.425,10.056306,26.1,
165.688458,10.058194,18.8,
169.766625,10.059722,41.3,
135.213292,10.061278,15.1,
166.730167,10.061472,15.2,
143.469458,10.063778,60.8,
132.66483300000002,10.0645,17.3,
171.438875,10.066028,28.4,
167.73191699999995,10.066444,21.1,
166.745625,10.068528,19.2,
140.59875,10.068639,18.2,
153.918375,10.070167,15.9,
131.656917,10.071028,39.7,
166.828833,10.071861,176.7,
154.4785,10.073083,25.1,
135.80225,10.073444,30.2,
128.929875,10.074278,20.3,
152.41625,10.076694,269.6,
155.809125,10.076917,28.1,
167.359708,10.078611,28.2,
145.74,10.080139,22.6,
129.988,10.082194,45.8,
138.528125,10.082611,91.9,
141.438917,10.082667,203.1,
150.290167,10.083611,70.2,
158.677375,10.083722,35.1,
153.656417,10.084278,88.6,
145.84004199999995,10.085417,20.0,
161.405167,10.086472,66.8,
157.527125,10.090722,58.2,
173.68379199999995,10.091083,19.7,
146.351792,10.093583,18.1,
126.9075,10.095167,40.4,
166.764208,10.095972,32.3,
138.430917,10.097028,23.3,
153.403417,10.099222,21.8,
156.946833,10.09925,36.8,
128.763958,10.099278,16.7,
159.792417,10.101889,22.1,
143.608583,10.102583,131.0,
125.228375,10.102639,47.6,
151.734375,10.103694,20.1,
172.237458,10.103806,18.1,
137.192042,10.103889,16.1,
171.60933300000005,10.108667,34.5,
140.180542,10.110389,17.2,
138.580667,10.110667,348.7,
139.19104199999998,10.111972,212.8,
150.112208,10.112028,78.0,
147.65775,10.112222,176.0,
136.227625,10.113278,53.8,
142.46825,10.114861,16.8,
135.889792,10.1165,244.1,
152.794375,10.119194,24.3,
128.856708,10.121889,65.6,
159.003208,10.124861,47.5,
136.026208,10.125944,42.0,
144.497292,10.126361,19.8,
138.621375,10.126361,29.2,
126.75275,10.126861,19.4,
160.416042,10.127056,23.7,
151.604333,10.127861,24.5,
135.975375,10.129972,181.3,
129.657875,10.130667,18.7,
161.955292,10.133972,37.7,
125.292833,10.142222,64.1,
147.62979199999995,10.143611,17.8,
154.99629199999995,10.144111,33.3,
143.298,10.150611,16.1,
153.865375,10.151889,27.8,
143.442125,10.152611,56.5,
159.581292,10.153889,34.5,
155.338,10.153917,51.9,
156.678875,10.161833,51.2,
131.60475,10.164583,89.7,
168.721125,10.167333,21.4,
156.571333,10.170194,37.0,
144.737417,10.171278,116.9,
140.59604199999998,10.178028,18.2,
141.142542,10.179028,26.1,
125.488542,10.179667,15.3,
